R7179,R9641
R1895,R8164
R10346,R11280
R3346,R5251
R13003,R5513
R13319,R16664
R10364,R12595
R10373,R15734
R12448,R14834
R12470,R14795
R11711,R13854
R12571,R6564
R7725,R8697
R11000,R14374
R4162,R5100
R11359,R13088
R7574,R9959
R13408,R15684
R11155,R9804
R1148,R5491
R4287,R6655
R15090,R17155
R12836,R13635
R14537,R16024
R1753,R2736
R12002,R13656
R10038,R13149
R11634,R7328
R10829,R8453
R1111,R3111
R6800,R8737
R12463,R14451
R6303,R8744
R10658,R8307
R6918,R8412
R7839,R8369
R12469,R15938
R13651,R9228
R13942,R14310
R15374,R9452
R1940,R3922
R13225,R14386
R2559,R3567
R11271,R14204
R7253,R8261
R4698,R6588
R16025,R9844
R5368,R8192
R11971,R12883
R6062,R7998
R11310,R9949
R5448,R7877
R5060,R7958
R13051,R15746
R5890,R6854
R10530,R10942
R10343,R8877
R5492,R8421
R1671,R282
R10420,R11764
R6198,R8133
R6357,R9809
R2249,R327
R2715,R5143
R10276,R9318
R3931,R4904
R13125,R14686
R11961,R16629
R3123,R7424
R3571,R7378
R11941,R12835
R2737,R3431
R12013,R14845
R7519,R9497
R14464,R15219
R2545,R8359
R11685,R14192
R1216,R1695
R13470,R14986
R8407,R9926
R13203,R15116
R13908,R8533
R4051,R5933
R15055,R16798
R4510,R6455
R2172,R314
R1717,R4620
R10713,R13353
R5071,R6967
R11286,R5004
R8719,R9713
R3039,R612
R11705,R17075
R3423,R7693
R13034,R7948
R3622,R6472
R10981,R5185
R11097,R4838
R3542,R6376
R11299,R17581
R11974,R2958
R5951,R9831
R2041,R8821
R13315,R15949
R10738,R11830
R11098,R14406
R4438,R7243
R11241,R14179
R12222,R7455
R14064,R3400
R17002,R17328
R6516,R725
R2621,R4096
R2902,R7273
R2864,R4319
R4447,R5401
R12503,R15609
R11157,R5414
R2666,R3670
R10866,R9962
R1488,R8276
R10225,R9702
R7592,R838
R4793,R7684
R10061,R13177
R6079,R7028
R2258,R5622
R11504,R9678
R14344,R6651
R12244,R8505
R2290,R5185
R3835,R8622
R5052,R694
R10267,R3505
R5029,R6420
R14149,R14918
R12520,R12934
R2922,R558
R11343,R9969
R11558,R12448
R13027,R15698
R2896,R5278
R3089,R7442
R10921,R14690
R12298,R14304
R12560,R14395
R5756,R6737
R16072,R17055
R2360,R7177
R4894,R7188
R2552,R5452
R10401,R9450
R13726,R15217
R10038,R12318
R13086,R13886
R13337,R9814
R12901,R12902
R10853,R17419
R14604,R16092
R1524,R574
R10713,R17343
R13696,R14420
R11017,R12362
R7244,R9244
R14307,R15461
R4865,R9246
R1858,R436
R1186,R4112
R16131,R16803
R12229,R15418
R15448,R17469
R6887,R7851
R13049,R16063
R11821,R13941
R15550,R16624
R14712,R17189
R10201,R12828
R3030,R7815
R2386,R4843
R3375,R5840
R11859,R14371
R11649,R6413
R5460,R9358
R10296,R8852
R13551,R17471
R6730,R8677
R3773,R7572
R10707,R8745
R15629,R17015
R16672,R17249
R15437,R16849
R8392,R9857
R16798,R9480
R11081,R11996
R15161,R8662
R13887,R15014
R4568,R686
R4977,R7366
R11049,R12830
R11112,R11553
R1641,R6465
R4415,R8787
R11471,R13629
R13170,R15514
R16878,R9078
R1364,R2339
R13247,R15595
R10251,R16310
R15664,R16396
R10214,R5793
R6049,R8499
R10407,R11304
R13101,R16140
R5050,R7926
R3362,R4856
R11885,R7596
R13574,R7651
R6908,R7849
R13470,R14184
R12930,R13740
R5330,R7726
R15064,R15065
R6227,R7698
R2158,R3677
R11430,R8994
R14255,R16830
R3674,R4604
R10035,R8053
R13131,R9544
R11443,R11896
R10686,R7301
R2213,R3198
R10007,R6075
R11830,R15805
R10824,R8895
R1534,R4006
R8153,R9582
R13418,R14189
R3023,R582
R5187,R6656
R3669,R8004
R10887,R3704
R7485,R8475
R13484,R7574
R10779,R6901
R2027,R3495
R12096,R14916
R10167,R6749
R13831,R14591
R13363,R15670
R2997,R7313
R13400,R14947
R6870,R8342
R12508,R9699
R13966,R14710
R15226,R9767
R1117,R2603
R1314,R7600
R10914,R6530
R12515,R7834
R12089,R7849
R11311,R12224
R11090,R13253
R1755,R2759
R1062,R3004
R2937,R3928
R13126,R9533
R10483,R9533
R10463,R6510
R12003,R6819
R12839,R9657
R14727,R15497
R14565,R16081
R11485,R14018
R4042,R8851
R11612,R7827
R12514,R3013
R10786,R8434
R12709,R13508
R10956,R3841
R1457,R552
R3926,R974
R17438,R9524
R3423,R5874
R14383,R7168
R2555,R619
R14890,R16364
R2715,R4200
R2453,R3462
R4997,R5965
R11278,R6951
R15690,R17102
R16158,R17143
R12580,R14560
R10123,R8653
R15697,R16435
R3096,R6948
R8461,R9957
R3526,R6832
R11302,R12671
R15892,R16275
R14442,R17270
R270,R3207
R12355,R9092
R3095,R7898
R12659,R15742
R13740,R14495
R3531,R5893
R17061,R8892
R2678,R726
R11110,R12877
R13874,R15000
R10333,R7927
R12272,R16163
R10862,R13486
R3481,R5398
R10726,R9802
R5453,R7382
R10135,R11477
R5707,R7157
R7219,R8213
R8900,R9911
R2840,R8477
R10866,R8954
R12573,R4032
R3494,R5391
R13642,R6996
R7662,R9069
R8399,R9444
R13464,R16059
R16140,R16821
R12055,R13349
R3711,R5583
R2913,R7234
R2731,R5154
R1242,R6054
R11306,R8971
R6368,R8800
R13275,R7286
R5023,R6459
R7404,R9940
R13930,R8045
R13910,R9015
R4376,R7719
R1607,R2723
R10414,R9457
R2787,R4311
R12030,R13707
R10759,R15279
R4687,R6627
R12314,R14323
R2613,R3626
R2141,R3654
R12815,R5612
R6832,R7324
R6568,R7054
R11455,R3813
R3636,R670
R11302,R9461
R3710,R9997
R12843,R15564
R11539,R14080
R13199,R16220
R10669,R8162
R11327,R14631
R7524,R9512
R5834,R8749
R1031,R4405
R1150,R4081
R11150,R15250
R16201,R16880
R5581,R7513
R122,R1903
R10791,R15301
R15677,R9364
R14459,R8699
R12104,R14923
R2175,R744
R2794,R3858
R3927,R6721
R10225,R6245
R12463,R9184
R2284,R2675
R3479,R5804
R12976,R9354
R2845,R3818
R13249,R8723
R11930,R12445
R5610,R6608
R14164,R16013
R11728,R13037
R6261,R7233
R12651,R5540
R10344,R8889
R12645,R13823
R11274,R14605
R10887,R9990
R8871,R9905
R16111,R17403
R6903,R8848
R13859,R14563
R10212,R6768
R12273,R9527
R7003,R7004
R10680,R12868
R7410,R8440
R1287,R7082
R11636,R15980
R16153,R16472
R14402,R14770
R2789,R851
R6346,R7814
R4465,R6842
R3252,R5159
R3164,R7971
R11313,R13053
R11935,R12470
R7999,R9982
R1984,R6234
R2572,R4533
R6284,R8768
R11081,R13244
R1584,R4994
R14091,R14851
R2157,R5544
R14193,R8937
R3754,R5836
R8162,R9698
R10303,R9828
R7545,R9081
R1439,R5866
R12134,R12997
R2323,R5707
R1734,R6567
R3521,R8819
R10275,R13346
R10284,R5469
R2877,R4431
R11200,R2552
R17113,R8998
R1008,R7783
R10157,R9185
R10497,R8070
R14762,R15110
R16012,R16705
R14540,R17355
R12520,R15986
R10236,R13640
R4227,R7585
R12755,R8059
R10583,R14366
R12925,R17011
R10692,R16339
R4536,R5507
R11636,R9813
R2204,R742
R12073,R9817
R11533,R6821
R14193,R15345
R5139,R768
R1323,R2785
R7299,R8232
R13552,R15809
R14327,R9149
R12968,R14155
R391,R7624
R11595,R12907
R11446,R14761
R12814,R13631
R2630,R700
R6061,R8527
R5671,R871
R10432,R9011
R14435,R17246
R2628,R8463
R6652,R7613
R14801,R16655
R10999,R5712
R7947,R9394
R3795,R8126
R11651,R12972
R1791,R2793
R13040,R8902
R12417,R6288
R5184,R7108
R3637,R5011
R10329,R8870
R4658,R9040
R12392,R14026
R13293,R15190
R1100,R6938
R16187,R8579
R16658,R17297
R13089,R13522
R10336,R11291
R13688,R15942
R1961,R2493
R1255,R345
R12132,R9435
R3062,R5451
R16537,R16887
R10212,R12602
R13139,R5238
R10935,R6576
R12070,R12930
R11657,R12978
R4703,R6119
R12532,R15258
R11120,R15555
R3352,R4318
R12451,R5377
R12007,R14081
R13714,R9277
R2628,R6480
R12422,R17540
R14287,R8998
R10739,R9796
R5845,R8167
R6218,R7181
R15936,R16955
R3669,R6994
R6441,R9399
R11027,R9644
R11728,R14201
R10668,R4376
R2898,R8708
R24,R3344
R2712,R4202
R13861,R14991
R12621,R15464
R1353,R3806
R8439,R9893
R8773,R9738
R5375,R6761
R11054,R9784
R11776,R3710
R10891,R13908
R13000,R9428
R10714,R8354
R10497,R11399
R13651,R7302
R4236,R6700
R4837,R6766
R14441,R16978
R10630,R6317
R6849,R9321
R3165,R4258
R11119,R7736
R14573,R17082
R11789,R14260
R11655,R17362
R11646,R6387
R6276,R7257
R12720,R14302
R1905,R57
R3299,R8596
R11449,R13571
R6156,R9122
R3736,R4201
R14027,R9649
R1111,R1645
R11749,R8964
R6210,R9162
R2783,R7125
R16697,R17342
R3908,R899
R3420,R4415
R7132,R9866
R4217,R4665
R12001,R14033
R6153,R9621
R14335,R16569
R233,R3585
R14264,R14265
R10794,R6438
R11648,R9345
R14137,R14138
R11945,R4402
R5190,R6214
R11797,R12705
R10823,R9865
R13745,R14120
R15745,R16453
R14839,R6253
R10644,R11531
R1191,R4114
R4445,R5820
R6466,R8939
R2364,R4791
R8586,R9581
R8781,R9739
R13997,R14730
R15433,R17462
R15300,R17576
R7420,R8424
R1142,R8889
R11230,R9883
R14610,R16791
R6809,R9747
R3212,R722
R11009,R9108
R10119,R10572
R10937,R15078
R4239,R5621
R1357,R184
R14984,R16086
R5687,R9615
R10892,R12255
R6441,R8899
R11066,R7699
R10240,R11523
R1602,R3792
R4764,R5686
R10416,R14624
R4766,R6614
R2829,R4274
R2837,R7160
R4013,R5889
R11149,R4452
R4914,R8341
R1529,R581
R8733,R9766
R12318,R9077
R2937,R7290
R11534,R12870
R16178,R16179
R2559,R5916
R3349,R4331
R10662,R7264
R5665,R7586
R15120,R17502
R10159,R9282
R4202,R7057
R1471,R2475
R6785,R9247
R10469,R10876
R11999,R13661
R11370,R12283
R14653,R16147
R14936,R9425
R12969,R13792
R14886,R7824
R2929,R4212
R11654,R15649
R6888,R7868
R8486,R8999
R11368,R2004
R14992,R17098
R1775,R2742
R10749,R12974
R14792,R9678
R13510,R5101
R2359,R7181
R5255,R7179
R3151,R5061
R5918,R6381
R12756,R14331
R9191,R9675
R12048,R17343
R15849,R17183
R11953,R12895
R11848,R14315
R2064,R3575
R1080,R3042
R3317,R4299
R1038,R7832
R13834,R15697
R12690,R15794
R3014,R9307
R5841,R6223
R12760,R17510
R14159,R5920
R14100,R16671
R1242,R3697
R6235,R8759
R15680,R16373
R11813,R8547
R11008,R16583
R14216,R16441
R11468,R16275
R12458,R15905
R3264,R4220
R10796,R9399
R10586,R13170
R1703,R4130
R11731,R15349
R2650,R4144
R4893,R5844
R6130,R7089
R16115,R9958
R1940,R9687
R7712,R8692
R12685,R13501
R1932,R535
R3688,R7012
R11545,R6248
R15033,R16143
R5978,R6946
R5745,R6688
R12260,R13073
R14475,R16669
R5882,R8319
R15778,R8499
R4624,R6980
R8614,R9577
R3827,R8617
R12618,R16766
R6322,R8763
R13560,R15815
R7426,R8895
R5568,R8630
R1852,R8
R12105,R5449
R14278,R15772
R11681,R12591
R1350,R3821
R3155,R6990
R7391,R8922
R10385,R6003
R748,R7985
R11224,R7366
R10608,R13674
R3613,R671
R12369,R14334
R12103,R5920
R14625,R15367
R7543,R8544
R3598,R4526
R10262,R5403
R13817,R14950
R3921,R9250
R10821,R11723
R1031,R9243
R15720,R16409
R5499,R7936
R14246,R16821
R1769,R4668
R10051,R8060
R11914,R12806
R10248,R12901
R16413,R17101
R10963,R3684
R11362,R6542
R1269,R356
R12886,R9766
R15649,R16391
R12570,R16388
R13128,R6113
R14510,R15274
R4252,R834
R10719,R4015
R10565,R11860
R5241,R6197
R268,R3210
R551,R7335
R11205,R8369
R7624,R9103
R15093,R16590
R10872,R7983
R12702,R15778
R11733,R16437
R2291,R8894
R3101,R5984
R15518,R16230
R7847,R8864
R10616,R14046
R14091,R15618
R10235,R7792
R2469,R4421
R13112,R9494
R10450,R12700
R1405,R4862
R12022,R13719
R10339,R11712
R10967,R16575
R7496,R9976
R12403,R9217
R3972,R7304
R11511,R14802
R5765,R6755
R2704,R4175
R8161,R9162
R1920,R459
R14589,R16410
R3194,R7011
R10143,R12926
R3760,R7086
R6911,R9894
R12109,R13796
R10819,R15346
R10054,R7066
R12840,R14853
R4410,R7289
R397,R7147
R12351,R6915
R7982,R9993
R4554,R8915
R8963,R9944
R12446,R8187
R4723,R8153
R13291,R7291
R10997,R11896
R2829,R7159
R4766,R8645
R15173,R17220
R9294,R9794
R2045,R5675
R11981,R5833
R4485,R7859
R12895,R7662
R10069,R7657
R13685,R14809
R13594,R16541
R10249,R4827
R13744,R15258
R12346,R13169
R11442,R12789
R11222,R9837
R2302,R8134
R14060,R15174
R13442,R16071
R14418,R9739
R10373,R14985
R1985,R4400
R2554,R3044
R3051,R9832
R1387,R4777
R11286,R5501
R10954,R15111
R11985,R8300
R16126,R17589
R11247,R14943
R2037,R5424
R8956,R9941
R5422,R9809
R6518,R7530
R11255,R2092
R3646,R8967
R3749,R4221
R1748,R5129
R10761,R13793
R15179,R8260
R336,R6567
R10377,R14597
R10750,R5947
R2544,R2545
R1355,R1836
R13573,R15097
R15205,R8718
R11834,R14699
R1205,R2174
R1821,R7153
R191,R674
R5092,R9014
R13645,R9213
R2904,R467
R2302,R874
R2517,R7317
R12956,R9830
R5701,R7118
R12440,R17542
R15520,R17530
R12960,R3562
R2272,R3240
R12966,R15294
R7762,R8752
R11409,R9605
R10154,R14420
R12354,R14366
R12746,R2262
R4663,R6142
R1433,R5783
R6547,R9478
R3358,R6762
R10407,R12207
R11598,R7804
R10220,R13710
R10574,R8624
R12857,R8247
R15785,R16483
R14081,R8789
R16723,R17353
R5927,R9337
R7192,R9683
R14838,R17268
R8121,R9138
R10423,R9467
R13103,R14661
R14007,R7143
R12940,R13741
R12846,R14077
R3476,R5783
R10755,R13384
R1380,R431
R12445,R12829
R5153,R8047
R4429,R6320
R12860,R6804
R15808,R16511
R11066,R8296
R6969,R9456
R4030,R4496
R13227,R9784
R3192,R8518
R11203,R14909
R11599,R9751
R3074,R6936
R14612,R16781
R2873,R3356
R1167,R3112
R3176,R3702
R12047,R4375
R5159,R6599
R14505,R5429
R3068,R6880
R16805,R17437
R10893,R13906
R10510,R6608
R3323,R7152
R11477,R12383
R7547,R8580
R4791,R5740
R4528,R9904
R2377,R69
R16000,R16686
R1949,R950
R11274,R15740
R10770,R9358
R12614,R7420
R10887,R8987
R10168,R2938
R13189,R13962
R7460,R8950
R4460,R7815
R12965,R9826
R15221,R9283
R104,R10672
R2393,R4362
R14129,R14899
R11566,R13637
R1864,R9160
R4075,R9392
R8275,R9704
R5191,R7127
R14617,R15742
R1697,R4149
R4146,R5083
R15777,R17131
R12249,R15794
R10778,R7877
R12091,R14914
R7206,R9180
R16073,R17052
R4389,R557
R1525,R587
R10210,R9292
R2792,R869
R2541,R4502
R1131,R2075
R13924,R17593
R2908,R4348
R1387,R4773
R10865,R9945
R7120,R9127
R11775,R13881
R1343,R2840
R13340,R9793
R5537,R6971
R6615,R7655
R16259,R17176
R15355,R17379
R14440,R14832
R2711,R3724
R6064,R9014
R11798,R5574
R4125,R696
R10819,R13813
R5072,R9961
R10478,R6099
R6753,R8255
R1917,R444
R10879,R9994
R1070,R3488
R3710,R7987
R11663,R9362
R3111,R4074
R16349,R16670
R3060,R6399
R11689,R7867
R13982,R7656
R10206,R16985
R10025,R7054
R10077,R4738
R1157,R229
R14067,R15562
R13956,R9551
R12115,R15686
R11326,R4596
R11252,R5477
R6022,R8471
R11307,R7450
R5120,R8987
R1180,R5054
R10611,R9678
R10496,R13136
R10066,R11879
R12265,R9002
R5757,R9663
R15060,R16180
R7996,R9015
R13388,R8836
R11713,R5409
R2851,R5104
R12016,R6232
R14090,R16677
R8157,R9157
R3841,R8125
R11990,R13657
R10163,R8292
R15547,R15933
R5861,R8240
R10863,R9947
R4251,R5189
R2933,R3950
R4953,R5925
R14128,R17031
R15497,R16233
R11192,R8426
R10404,R3642
R3715,R5922
R10263,R15243
R13698,R8289
R6041,R8492
R11191,R3058
R4837,R486
R2140,R250
R3033,R8351
R5745,R9160
R1427,R2415
R6651,R8130
R1879,R5788
R3365,R5341
R14344,R9111
R10198,R11969
R13328,R8320
R11093,R13674
R14520,R17345
R14598,R16435
R1654,R2628
R16146,R16824
R13537,R14675
R15791,R16479
R3392,R6769
R1942,R451
R10523,R16859
R1084,R2063
R1331,R414
R16348,R16681
R13327,R14508
R13756,R9300
R17376,R17377
R14837,R17297
R12900,R15215
R11002,R12379
R2764,R6138
R12104,R12956
R6862,R7341
R10362,R6959
R15363,R16107
R4684,R5666
R7809,R9308
R15751,R16460
R2635,R3652
R4015,R7813
R11541,R6303
R12507,R12902
R10164,R11491
R13085,R16796
R11295,R14206
R10888,R9990
R15325,R17055
R2146,R701
R13739,R14869
R6101,R8040
R1992,R467
R13025,R9422
R1885,R5353
R2706,R4594
R10455,R8990
R2911,R8266
R10964,R9145
R15295,R16711
R11399,R7074
R10870,R9461
R3432,R7209
R4233,R5638
R10179,R12470
R17586,R7519
R2002,R6808
R5457,R9334
R1705,R7988
R10580,R8149
R3666,R8517
R198,R2785
R11702,R4101
R1452,R2479
R7808,R8798
R11767,R13062
R460,R5857
R530,R5835
R4212,R6094
R3479,R6784
R11183,R8817
R13476,R14243
R10785,R3053
R6027,R6961
R10069,R9096
R11998,R13705
R2237,R5145
R11139,R8310
R2925,R950
R11767,R9958
R1171,R6948
R10221,R15196
R13483,R14228
R4382,R6722
R3141,R6480
R14856,R16341
R11978,R13668
R14122,R15238
R2395,R3370
R11300,R9942
R15898,R8259
R15646,R17023
R13658,R6245
R12278,R14687
R6588,R7572
R3545,R8389
R11523,R9237
R3345,R897
R15509,R16259
R12418,R15200
R3254,R6583
R15775,R9985
R6390,R8650
R13217,R8662
R12653,R7451
R4015,R9800
R7446,R9413
R13518,R17134
R10645,R11511
R14329,R6576
R13649,R5763
R14872,R15632
R8246,R9226
R12854,R13691
R11070,R4373
R6331,R7308
R2292,R4723
R10255,R13705
R7450,R9467
R1558,R627
R2182,R3189
R6656,R9147
R10391,R8879
R8561,R9079
R5519,R6940
R10672,R3977
R1762,R4698
R13345,R17332
R11213,R17346
R12734,R6143
R6994,R8004
R3412,R47
R12297,R9567
R12166,R9878
R6868,R8811
R5309,R935
R10493,R7061
R4253,R8159
R11585,R13713
R11149,R7823
R14710,R15846
R1103,R2620
R2472,R5333
R6617,R9116
R10825,R9423
R576,R5890
R11828,R7584
R12162,R15724
R11456,R12346
R5057,R6972
R15007,R8474
R11970,R6758
R10337,R12762
R14234,R15364
R11353,R6042
R10099,R11853
R583,R6842
R13322,R16703
R14091,R17310
R12419,R7198
R7501,R8523
R4646,R9049
R10015,R10919
R3312,R8589
R10247,R2960
R2727,R4204
R12628,R7391
R2208,R8489
R10312,R10767
R12771,R8130
R2027,R3992
R14835,R17246
R3884,R9549
R12237,R9518
R5647,R9541
R10702,R12031
R13060,R15375
R2886,R6241
R12576,R15264
R10416,R15360
R3395,R9284
R10524,R7568
R15765,R8510
R2290,R3827
R13931,R15804
R11842,R16878
R6430,R9437
R12831,R9665
R1622,R4083
R16642,R17273
R10341,R10812
R10966,R8093
R6878,R9859
R13125,R16183
R10340,R9398
R5299,R6334
R12034,R14864
R11390,R4683
R10247,R2421
R6976,R7964
R1768,R3437
R2608,R4990
R2148,R6033
R4827,R6827
R14846,R8162
R13308,R7301
R13696,R9254
R12488,R7265
R12026,R13677
R1625,R4561
R8455,R9409
R12669,R16103
R14250,R17134
R5537,R9963
R3130,R3634
R4642,R6063
R10291,R6859
R11094,R7766
R11590,R12908
R11188,R14933
R13555,R15830
R11226,R8363
R3961,R5763
R12693,R16818
R4092,R7825
R15023,R16141
R14400,R16643
R10836,R7897
R4409,R7761
R2435,R5789
R10235,R9264
R11209,R13358
R10787,R7909
R12053,R7320
R15557,R16626
R11209,R16395
R1490,R3395
R10871,R6997
R10205,R13315
R13488,R9945
R1875,R7287
R10380,R14576
R10151,R12472
R10004,R2851
R1103,R9393
R10307,R12563
R11521,R14052
R15340,R16407
R4593,R6536
R12620,R8895
R135,R2012
R16553,R17213
R1278,R6718
R5497,R9930
R15169,R15523
R10289,R7811
R12955,R16710
R10431,R6554
R3014,R3015
R1691,R313
R6111,R7043
R11233,R7914
R12059,R15976
R2386,R460
R13141,R15828
R11572,R3961
R11165,R9324
R2250,R3256
R7375,R9332
R2146,R2635
R10486,R5599
R3848,R5117
R12870,R9200
R6578,R8077
R13206,R17503
R6829,R9307
R10950,R12819
R4146,R7483
R10697,R8683
R10082,R9110
R2178,R3167
R3352,R6573
R14981,R16088
R10774,R9829
R5427,R624
R11783,R7969
R1638,R7917
R8134,R874
R12941,R14600
R7249,R8249
R6836,R7825
R4594,R9018
R5259,R6695
R5302,R7234
R5563,R7530
R12023,R4884
R14029,R14769
R14348,R15843
R10204,R3921
R13690,R15201
R2715,R7044
R1276,R5632
R1124,R4084
R13327,R15238
R4111,R5067
R4340,R6767
R4681,R5836
R7006,R7972
R11953,R7662
R14524,R15261
R14803,R16624
R10717,R13345
R8183,R9781
R1211,R3201
R12281,R13930
R4944,R7883
R14622,R15000
R15264,R17346
R13130,R15430
R14444,R9213
R12229,R14273
R12429,R9765
R11731,R16074
R11611,R13756
R11241,R7420
R14019,R17228
R11891,R4307
R13779,R16390
R17060,R17394
R10248,R8680
R13841,R17055
R1596,R2614
R11460,R8101
R5533,R6480
R7561,R8573
R4409,R9737
R10309,R7385
R13791,R14538
R3644,R694
R6003,R9422
R4859,R6137
R2665,R9990
R10823,R12147
R12804,R7138
R5145,R8040
R11193,R2054
R10044,R14188
R15121,R16916
R2910,R4411
R11883,R9146
R14893,R8844
R14016,R14782
R4480,R624
R13490,R15003
R12712,R17434
R1480,R6765
R11643,R15666
R2220,R6087
R10276,R6345
R16279,R7662
R4628,R5549
R10879,R11788
R10033,R11840
R11032,R9638
R10267,R2997
R7522,R8981
R12671,R16107
R12453,R15202
R12103,R8853
R11596,R7279
R7151,R8151
R12952,R13794
R1573,R6908
R4946,R6908
R10612,R12407
R16487,R17451
R6091,R9032
R10246,R7731
R11600,R3359
R2783,R3805
R3014,R7336
R14836,R9753
R256,R2644
R3884,R8072
R12361,R13202
R4893,R6746
R15712,R17089
R11379,R13132
R6052,R8501
R14681,R16848
R4512,R9907
R13261,R15908
R7126,R9635
R10019,R11375
R4405,R8235
R460,R4843
R11405,R8624
R2067,R8386
R8338,R8804
R17344,R17557
R6282,R7716
R2349,R3812
R12930,R14495
R10820,R13039
R4329,R8653
R2161,R7015
R7118,R8134
R1939,R4855
R13683,R14433
R193,R2595
R1278,R2742
R15843,R9101
R3544,R7864
R7426,R9414
R3388,R4815
R3575,R4486
R3682,R7027
R2960,R9252
R14300,R15803
R11697,R9870
R13512,R16482
R7969,R9005
R12420,R15946
R4939,R7832
R5719,R7619
R10625,R5327
R11788,R9474
R8295,R8777
R3044,R5944
R4618,R7479
R3608,R4534
R16426,R17059
R1866,R4330
R7169,R8588
R16774,R17391
R13299,R14043
R16472,R17440
R10292,R5398
R10670,R5796
R12574,R12971
R13117,R15061
R10494,R14299
R12532,R13744
R12336,R7639
R10600,R14396
R13963,R15120
R12252,R7022
R1141,R5042
R16436,R17380
R8688,R9707
R2438,R3399
R15507,R16581
R13660,R15572
R5503,R6446
R2264,R2766
R1647,R216
R4968,R596
R156,R3004
R1412,R1414
R2178,R4131
R3155,R4637
R6631,R7610
R1961,R5292
R14989,R17388
R5181,R9541
R14605,R15740
R4066,R6012
R10422,R6493
R10445,R11330
R1038,R136
R4251,R6194
R8756,R9749
R1136,R3075
R1382,R438
R10780,R11214
R14519,R7385
R14463,R8680
R2619,R3076
R3974,R5299
R10095,R9126
R3430,R9242
R5051,R6916
R11392,R15351
R10585,R9124
R12194,R13031
R12528,R15976
R10517,R6124
R15749,R9958
R2983,R6334
R10222,R12826
R10280,R7823
R13404,R14972
R10084,R11868
R10576,R9123
R2950,R7753
R1791,R4754
R5442,R7373
R1088,R2534
R10645,R15593
R12563,R16389
R10618,R13653
R15267,R17345
R10322,R8366
R13114,R7501
R11449,R14753
R10562,R3835
R10727,R3001
R8228,R9254
R4032,R5439
R14551,R15713
R6042,R8004
R12025,R14829
R4679,R5487
R1082,R1554
R7553,R9541
R2351,R395
R2414,R6728
R10026,R4212
R2222,R4199
R11489,R14410
R13508,R9027
R14871,R15982
R1890,R4415
R7968,R9503
R1535,R4918
R12177,R13464
R10616,R11508
R10786,R9432
R6000,R7429
R10931,R12727
R12472,R15922
R11777,R13899
R2233,R3037
R4462,R5404
R4528,R7436
R3111,R5013
R12149,R7434
R10625,R6820
R2288,R6625
R12395,R7678
R15462,R9077
R6500,R8981
R4573,R9467
R530,R967
R3214,R5098
R14995,R16767
R6252,R9707
R13083,R8501
R10254,R14080
R17423,R9505
R10326,R7299
R10927,R5131
R3208,R5582
R12977,R15279
R5122,R9032
R13711,R15955
R15503,R16249
R6877,R9833
R10065,R8098
R11583,R12495
R7279,R8745
R10049,R11849
R15231,R15950
R12832,R13293
R10609,R11490
R11293,R13822
R11285,R8435
R6096,R9335
R2425,R6261
R11878,R13971
R10962,R13570
R5926,R7364
R16938,R17225
R7031,R8024
R6702,R9155
R11200,R6905
R15492,R17509
R10997,R9095
R11683,R15346
R4524,R9440
R10759,R12977
R12266,R7025
R4309,R5706
R5239,R6654
R12978,R8844
R11745,R8473
R3505,R4462
R1073,R4003
R3922,R6250
R1350,R6151
R13357,R15675
R16083,R17603
R10852,R13474
R15627,R15982
R1622,R7894
R10607,R9746
R3179,R4620
R3787,R5239
R10539,R11435
R11039,R1908
R6303,R7261
R4413,R5865
R12419,R9718
R14613,R6486
R15193,R16623
R10593,R4778
R10255,R11502
R1745,R775
R11004,R12357
R1314,R6182
R5247,R8653
R3884,R8576
R1660,R4120
R10789,R8400
R4855,R6712
R13520,R15037
R13173,R9136
R10605,R14790
R16519,R17467
R8955,R9456
R14287,R7471
R3946,R5843
R16378,R17049
R11719,R14307
R8123,R9608
R2665,R5120
R3186,R7513
R12126,R17576
R12130,R8941
R2926,R6732
R1938,R9197
R1700,R5559
R3180,R4187
R14329,R16187
R14913,R16031
R5676,R9089
R13586,R9087
R2630,R5534
R3817,R5674
R14549,R15731
R11310,R12225
R4235,R5493
R4981,R8384
R10221,R14448
R13842,R15357
R1958,R550
R5864,R7718
R11109,R17219
R3803,R7598
R5275,R7304
R10883,R8526
R3457,R5771
R4110,R8463
R6086,R6986
R15268,R17049
R4370,R9713
R4987,R8472
R12251,R7521
R3303,R5691
R5636,R7549
R4035,R618
R10142,R11468
R13569,R15466
R4684,R9552
R8544,R9919
R2902,R9662
R15278,R17558
R6132,R9063
R7318,R8324
R4286,R7601
R13557,R14322
R2272,R333
R12053,R5900
R13170,R13974
R10741,R13344
R12355,R8139
R4452,R5411
R12749,R7557
R11098,R4399
R7356,R8845
R4766,R7619
R7415,R8875
R16798,R7031
R10138,R9650
R6047,R9484
R5365,R9292
R3884,R7549
R4973,R6888
R14036,R15209
R1126,R6016
R3799,R4264
R3941,R6732
R4165,R5085
R16311,R17271
R16022,R16383
R2250,R4238
R1866,R895
R12931,R4919
R10181,R12835
R1996,R987
R1902,R501
R10650,R11524
R7555,R8073
R4798,R7224
R4964,R6887
R16343,R17249
R8724,R9423
R10289,R9312
R3512,R4926
R11648,R14910
R8184,R9732
R15963,R17313
R1020,R5354
R3319,R4713
R12670,R13230
R11586,R12494
R10851,R15005
R15096,R15720
R8076,R9569
R11657,R8844
